slang,full_word
@,at
@teotd,at the end of the day
1,one or won
14aa41,one for all and all for one
2,"to, too, or two"
2b or not 2b,to be or not to be
2dA,today
3sum,threesome
4,"for, four, or the prefix or suffix: fore)"
411,information
4ever,forever
86,"out of, or over"
aaaaa,American association against acronym abuse
aaf,as a friend
aak,asleep at keyboard
aamoi,as a matter of interest
"aar, aar8",at any rate
aas,alive and smiling
aatk,always at the keyboard
aayf,"as always, your friend"
ab,ass backwards
abithiwtidb,a bird in the hand is worth two in the bush
abt2,about to
acd,alt control delete
ack,acknowledgement
adad,"another day, another dollar"
adbb,all done bye bye
adih,another day in hell
adip,another day in paradise
afagay,a friend as good as you
afahmasp,a fool and his money are soon parted
afaic,as far as I'm concerned
afaiu,as far as I understand
afap,as far as possible
afayc,as far as your concerned
afc,away from computer
afdn,any f***ing day now
afiaa,as far as I am aware
afiniafi,a friend in need is a friend indeed
afk,away from keyboard
afz,acronym free zone
agkwe,and God knows what else
aiamu,and I'm a monkey's uncle
aih,as it happens
aimb,as I mentioned before
aimp,always in my prayers
aise,as I said earlier
aisi,as I see it
alol,actually laughing out loud
alot or allot,a lot
altg,"act locally, think globally"
amap,as many as possible
ambw,all my best wishes
aml,all my love
and,any day now
anfawfows,and now a word from our web sponsor
aoas,all of a sudden
aob,abuse of bandwidth
asafp,as soon as freakin possible
aslmh,"age,sex,location,music,hobbies"
atb,all the best
atst,at the same time
atw,"all the web, or around the web"
ayk,as you know
aysos,are you stupid or something
aytmtb,and you're telling me this because?
ax,ask
b,"be, bee"
bc or b/c,because
b4u,before you
b4uki,before you know it
bag,busting a gut
bai,bye
bak,back at my keyboard
bau,business as usual
bb,bye-bye or bulletin board
"bb4n, bbfn",bye bye for now
bbbg,"bye bye, be good"
bbias,be back in a sec
bbiaw,be back in a while
bbn,bye bye now
bbsd,be back soon darling
bbsl,be back sooner or later
bbt,be back tomorrow
bc,because
bcoz,because
bdn,big d**n number
bf,boyfriend
bfd,big f***ing deal
bg,big grin. See bg page for alternative meanings.
bif,before I forget
bion,believe it or not
bioyn,blow it out your nose
bitd,back in the day
bk,big kiss
bka,better known as
bm,bite me
bmota,bite me on the ass
bohica,"bend over, here it comes again"
bout,about
br,bathroom. See br page for alternative meanings.
brt,be right there
bs,"big smile, bull sh**"
btdt,been there done that
bthoom,beats the heck out of me
btsoom,beats the sh** out of me
btwbo,be there with bells on
bw,best wishes
bwd,backward
bwdik,but what do I know
by,busy
bykt,but you knew that
c-t,city
c,see
'cause,because
cb,call back or chat brat. See CB page for other meanings.
cfv,call for vote
cid,consider it done
cmiw,correct me if I'm wrong
"cos, coz",because
craft,can't remember a f***ing thing
crat,can't remember a thing
csl,can't stop laughing
"cul, cul8r",see you later
cus,because
cuz or cuzz,because
cwyl,chat with you later
cyt,see you tomorrow
da,the
dat,that
deti,don't even think it
df,dear friend
dga,don't go away (or anywhere)
dgara,don't give a rat's a**
dgt,don't go there
dhyb,don't hold your breath
diaf,die in a fire
diku,do I know you?
dis,this
dkdc,"don't know, don't care"
dltm,don't lie to me
dnc,does not compute
doin,doing
dos,those
dqydj,don't quit your day job
drib,don't read if busy
dunno,don't know
dust,did you see that?
duz,does
duznt,doesn't
dyjhiw,don't you just hate it when...
dyofdw,do your own f***ing dirty work
dystsott,did you see the size of that thing?
e123,easy as 123
eak,eating at the keyboard
em,"them, excuse me"
eso,equipment smarter than operator
evar,ever
ewi,e-mailing while intoxicated
ez,easy
faql,frequently asked questions list
fav,favorite
fawc,for anyone who cares
fe,fatal error
fitb,fill in the blanks
fo,f*** off
foc,free of charge
foe,for
fofl,falling on floor laughing
ftasb,faster than a speeding bullet
fttb,for the time being
fwd,forward
fya,for your amusement
g or <g>,grin
ga,go ahead
gbh,great big hug
gd,good
ggn,gotta go now
go2,go to
gok,God only knows
gonna,going to
gth,go to hell
gtsy,good to see you
gud,good
h,how
h2,how to
hagd,have a good day
hai,hi
hhoj,"ha ha, only joking"
hhtyay,happy holidays to you and yours
hih,hope it helps
hlp,help
hua,heads up ace
hugz,hugs
huh,have you heard
huya,head up your a**
i1dr,I wonder
iae,in any event
ianac,I am not a crook
ianae,I am not an expert
iat,I am tired
ibrb,I'll be right back
ibt,in between technology
ibtd,I beg to differ
icbw,I could be wrong
